frame,nis
1,0.0
2,0.0060255960168039795
3,0.006603547757897215
4,0.010529508756413182
5,0.028675511137628708
6,0.061058727567082374
7,0.09068332637253512
8,0.21810704935590824
9,1.2263656912093273
10,1.6417281418991765
11,0.8727979006434816
12,0.08686738300115943
13,0.0924590419399873
14,0.9034138065124464
15,9639.937528229908
16,883.0345330683493
17,2879.5412896337616
18,1063.8021552498074
19,470.9041387538105
20,558.4666379646715
21,590.8376987766057
22,231.89458054543755
23,30.396626699732906
24,10723.608759059362
25,6505.696952672081
26,3629.652029204805
27,1830.0992235915837
28,803.6842827450904
29,274.92417357526784
30,50.67975603563943
31,0.06398626158016428
32,51.43640816440995
33,126.91402223243894
34,224.3803400936138
35,13172.572937753148
36,1145.007863744619
37,554.2336473698952
38,249.25787503313123
39,1277.6132259424248
40,311.50950376092885
41,151.45095619221343
42,5.906814570395895
43,4050.171304964124
44,1994.5743983740003
45,805.3086107651305
46,288.67276436120414
47,680.2365717475598
48,155.94331107744816
49,235.07906357864627
50,372.5053470758545
51,3784.9499641216403
52,11066.380539927446
53,6224.377166154685
54,320.5557447939305
55,1955.709421412811
56,3832.417231211418
57,1933.548295659951
58,761.8998125493655
59,200.79068159044093
60,8650.725697620403
61,705.9947209606094
62,251.35006437321564
63,53.80900472154566
64,2.5676516845938564
65,20.54894676512497
66,62.98784845061165
67,6127.524331620888
68,4188.181551120569
69,2679.9787660474353
70,1459.688837335639
71,668.6279566978862
72,199.0040392471549
73,13.871897521932762
74,61.2151496289349
75,6933.644809231541
76,4163.762827180056
77,2324.9847178301397
78,1222.5444260925005
79,537.3335230680283
80,7333.106155066417
81,4323.547419311466
82,2369.132191456829
83,1106.4172919439059
84,6421.527938344694
85,3836.628750320456
86,3048.870339387065
87,1612.020612833777
88,755.0535492271259
89,7123.692250693434
90,4025.1792833597906
91,2085.7840653137964
92,962.5553924637317
93,2196.4434819184034
94,1520.2919469486665
95,941.7061826544453
96,504.78538917721494
97,223.98182094653515
98,55.67045649395233
99,3398.108072269535
100,1855.1342604500694
101,5448.111998276814
102,3022.8563254956857
103,1507.0780446751908
104,649.5219369760289
105,211.65957881900016
106,8997.945896185878
107,5218.583182440456
108,2893.215632641782
109,1383.15737284634
110,551.6974208145471
111,144.03586020007043
112,19.14096016997193
113,12.186990521248731
114,55.311166058319955
115,108.89241206400119
116,138.22982974266094
117,168.93564091177703
118,179.41236238677948
119,181.79719021260524
120,173.32972311262418
121,154.04585061828178
122,142.09730122775633
123,131.83283175323535
124,12070.566519935623
125,6341.787168073482
126,2931.174215158615
127,1101.5223886688748
128,267.797649059767
129,10.709879539696114
130,44.66477405332364
131,198.30454298582944
132,363.19845464643925
133,14493.617110889434
134,8785.058678306197
135,4954.766163619322
136,2545.1583318541507
137,1141.8580598716173
138,6199.77127766628
139,1408.0625200010372
140,592.3875844002868
141,189.69601845054018
142,27.081685458367712
143,1.7184353706398696
144,38.77449176351379
145,91.76400672335869
146,142.15607891553282
147,169.12999400832192
148,186.78094253689184
149,185.51023827114534
150,173.4268471460394
151,154.44131782312667
152,128.37387517044942
153,98.71071633518778
154,76.74657835824614
155,56.26763826509622
156,37.26094800291177
157,23.783042746628272
158,15.79070225645698
159,8.399649647126594
160,4.578624329498739
161,1.9740236001615423
162,0.7614971777393987
163,0.2935429071166902
164,0.02439378305725516
165,0.0002035926540589163
166,0.09962125241921965
167,0.06573199468080639
168,0.1391362927714993
